rank,kelurahan,kec,kab,tier,composite_score,recommendation,projected_monthly_revenue_juta,estimated_daily_customers,cannibalization_risk,white_space
1,Pering Sari Mekar,Kuta,Badung,1,93,high_priority,198,110,low,Tier-1 Badung — Kuta (Pering Sari Mekar) 22 existing MAP stores within 2km. Near Park 23 Mall (0.7km) — strong foot-traffic source. High tourist area — F&B and lifestyle brands fit well. Above-average purchasing power — premium brands viable. Composite score indicates strong expansion candidate.
2,Loloan Lestari,Kuta,Badung,1,93,high_priority,58,32,low,Tier-1 Badung — Kuta (Loloan Lestari) 23 existing MAP stores within 2km. Near Lippo Mall Kuta (0.4km) — strong foot-traffic source. High tourist area — F&B and lifestyle brands fit well. Above-average purchasing power — premium brands viable. Composite score indicates strong expansion candidate.
3,Sembung Gede Mukti,Kuta,Badung,1,93,high_priority,196,109,low,Tier-1 Badung — Kuta (Sembung Gede Mukti) 23 existing MAP stores within 2km. Near Discovery Shopping Mall (1.0km) — strong foot-traffic source. High tourist area — F&B and lifestyle brands fit well. Above-average purchasing power — premium brands viable. Composite score indicates strong expansion candidate.
4,Bungaya Kelod,Kuta,Badung,1,90,high_priority,50,28,low,Tier-1 Badung — Kuta (Bungaya Kelod) 18 existing MAP stores within 2km. Near Beachwalk Shopping Center (0.7km) — strong foot-traffic source. High tourist area — F&B and lifestyle brands fit well. Above-average purchasing power — premium brands viable. Composite score indicates strong expansion candidate.
5,Pengambengan Lestari,Kuta Utara,Badung,1,89,high_priority,369,205,low,Tier-1 Badung — Kuta Utara (Pengambengan Lestari) 13 existing MAP stores within 2km. Nearest mall: Living World Denpasar at 1.5km. High tourist area — F&B and lifestyle brands fit well. Above-average purchasing power — premium brands viable. Composite score indicates strong expansion candidate.
6,Asak Kelod,Denpasar Utara,Denpasar,1,89,high_priority,985,547,low,Tier-1 Denpasar — Denpasar Utara (Asak Kelod) 0 existing MAP stores within 2km. Nearest mall: Living World Denpasar at 2.3km. High tourist area — F&B and lifestyle brands fit well. Above-average purchasing power — premium brands viable. Composite score indicates strong expansion candidate.
7,Kedisan Sentosa,Denpasar Barat,Denpasar,1,89,high_priority,734,408,low,Tier-1 Denpasar — Denpasar Barat (Kedisan Sentosa) 0 existing MAP stores within 2km. Nearest mall: Living World Denpasar at 2.2km. High tourist area — F&B and lifestyle brands fit well. Above-average purchasing power — premium brands viable. Composite score indicates strong expansion candidate.
8,Saba Sari Mekar,Kuta Utara,Badung,1,88,high_priority,1186,659,low,Tier-1 Badung — Kuta Utara (Saba Sari Mekar) 0 existing MAP stores within 2km. Nearest mall: Living World Denpasar at 4.6km. High tourist area — F&B and lifestyle brands fit well. Above-average purchasing power — premium brands viable. Composite score indicates strong expansion candidate.
9,Pengambengan Lestari,Denpasar Selatan,Denpasar,1,88,high_priority,857,476,low,Tier-1 Denpasar — Denpasar Selatan (Pengambengan Lestari) 2 existing MAP stores within 2km. Nearest mall: Ramayana Mall Bali at 1.7km. High tourist area — F&B and lifestyle brands fit well. Composite score indicates strong expansion candidate.
10,Bungaya Kelod,Denpasar Timur,Denpasar,1,88,high_priority,896,498,low,Tier-1 Denpasar — Denpasar Timur (Bungaya Kelod) 0 existing MAP stores within 2km. Nearest mall: Plaza Renon at 2.3km. High tourist area — F&B and lifestyle brands fit well. Composite score indicates strong expansion candidate.
